Operation Time (d)   Fluence (10E21nvt)   QPPP (W/m^3)    Burnup (FIMA)    Coolant T (C)
     102.496               0.239          0.81168E+07        0.0210          603.619
     108.902               0.265          0.81715E+07        0.0222          650.493
     115.308               0.289          0.76728E+07        0.0234          694.679
     121.714               0.312          0.69595E+07        0.0245          734.889
     128.120               0.332          0.60244E+07        0.0254          769.779
     134.526               0.350          0.53101E+07        0.0262          800.541
     140.932               0.366          0.45052E+07        0.0270          826.663
     147.338               0.379          0.40181E+07        0.0276          850.000
     160.150               0.385          0.20683E+07        0.0294          462.701
     166.556               0.397          0.33862E+07        0.0298          483.535
     172.962               0.414          0.51192E+07        0.0305          515.135
     179.368               0.436          0.67989E+07        0.0313          557.270
     185.774               0.461          0.74475E+07        0.0324          603.619
     192.180               0.487          0.75019E+07        0.0335          650.493
     198.586               0.511          0.70459E+07        0.0346          694.679
     204.992               0.534          0.63916E+07        0.0355          734.889
     211.398               0.554          0.55319E+07        0.0364          769.779
     217.804               0.572          0.48712E+07        0.0372          800.541
     224.210               0.588          0.41308E+07        0.0379          826.663
     230.616               0.601          0.36843E+07        0.0384          850.000
     243.428               0.607          0.34148E+07        0.0384          466.163
     249.834               0.617          0.59048E+07        0.0391          494.122
     256.240               0.632          0.84116E+07        0.0402          533.984
     262.646               0.650          0.10425E+08        0.0416          583.449
     269.052               0.670          0.11324E+08        0.0432          637.268
     275.458               0.691          0.11359E+08        0.0449          691.341
     281.864               0.710          0.10526E+08        0.0465          741.536
     288.270               0.729          0.91459E+07        0.0479          785.217
     294.676               0.745          0.74227E+07        0.0491          820.763
     301.082               0.758          0.61164E+07        0.0501          850.000
     313.894               0.763          0.15676E+07        0.0502          460.211
     320.300               0.772          0.26161E+07        0.0506          477.242
     326.706               0.786          0.42546E+07        0.0511          504.925
     333.112               0.805          0.57551E+07        0.0518          542.366
     339.518               0.826          0.63004E+07        0.0527          583.375
     345.924               0.847          0.62760E+07        0.0537          624.257
     352.330               0.866          0.58687E+07        0.0546          662.521
     358.736               0.884          0.52538E+07        0.0554          696.806
     365.142               0.899          0.45496E+07        0.0561          726.522
     371.548               0.913          0.39187E+07        0.0568          752.146
     377.954               0.926          0.33740E+07        0.0573          774.227
     384.360               0.938          0.30771E+07        0.0578          794.379
     390.766               0.949          0.28166E+07        0.0582          812.834
     397.172               0.959          0.28025E+07        0.0587          831.204
     403.578               0.968          0.28664E+07        0.0591          850.000
     416.390               0.975          0.18045E+07        0.0600          464.076
     422.796               0.988          0.30522E+07        0.0604          487.846
     429.202               1.007          0.44366E+07        0.0610          522.326
     435.608               1.032          0.57088E+07        0.0617          566.607
     442.014               1.059          0.62203E+07        0.0626          614.783
     448.420               1.087          0.63055E+07        0.0635          663.570
     454.826               1.113          0.60506E+07        0.0645          710.352
     461.232               1.137          0.55514E+07        0.0653          753.256
     467.638               1.158          0.48511E+07        0.0661          790.741
     474.044               1.177          0.42080E+07        0.0668          823.282
     480.450               1.191          0.34549E+07        0.0674          850.000
     493.262               1.198          0.16416E+07        0.0682          464.076
     499.668               1.211          0.27801E+07        0.0686          487.846
     506.074               1.231          0.40483E+07        0.0691          522.326
     512.480               1.255          0.52198E+07        0.0698          566.607
     518.886               1.283          0.56993E+07        0.0706          614.783
     525.292               1.310          0.57884E+07        0.0715          663.570
     531.698               1.336          0.55638E+07        0.0723          710.352
     538.104               1.360          0.51122E+07        0.0731          753.256
     544.510               1.381          0.44724E+07        0.0738          790.741
     550.916               1.400          0.38812E+07        0.0745          823.282
     557.322               1.415          0.31887E+07        0.0750          850.000
     570.134               1.420          0.11813E+07        0.0750          460.211
     576.540               1.429          0.19784E+07        0.0753          477.242
     582.946               1.443          0.32338E+07        0.0757          504.925
     589.352               1.462          0.43976E+07        0.0763          542.366
     595.758               1.482          0.48386E+07        0.0770          583.375
     602.164               1.503          0.48412E+07        0.0777          624.257
     608.570               1.523          0.45443E+07        0.0784          662.521
     614.976               1.540          0.40812E+07        0.0791          696.806
     621.382               1.556          0.35428E+07        0.0797          726.522
     627.788               1.570          0.30520E+07        0.0802          752.146
     634.194               1.583          0.26299E+07        0.0806          774.227
     640.600               1.595          0.24006E+07        0.0810          794.379
     647.006               1.606          0.21995E+07        0.0814          812.834
     653.412               1.616          0.21906E+07        0.0817          831.204
     659.818               1.625          0.22429E+07        0.0821          850.000
     672.630               1.632          0.13771E+07        0.0828          464.076
     679.036               1.645          0.23376E+07        0.0831          487.846
     685.442               1.664          0.34161E+07        0.0836          522.326
     691.848               1.689          0.44226E+07        0.0842          566.607
     698.254               1.716          0.48490E+07        0.0849          614.783
     704.660               1.744          0.49438E+07        0.0856          663.570
     711.066               1.770          0.47684E+07        0.0863          710.352
     717.472               1.794          0.43942E+07        0.0870          753.256
     723.878               1.815          0.38532E+07        0.0877          790.741
     730.284               1.833          0.33470E+07        0.0882          823.282
     736.690               1.848          0.27538E+07        0.0887          850.000
     749.502               1.854          0.10773E+07        0.0897          462.701
     755.908               1.866          0.17786E+07        0.0899          483.535
     762.314               1.883          0.27233E+07        0.0903          515.135
     768.720               1.905          0.36684E+07        0.0907          557.270
     775.126               1.930          0.40738E+07        0.0913          603.619
     781.532               1.956          0.41548E+07        0.0920          650.493
     787.938               1.980          0.39450E+07        0.0926          694.679
     794.344               2.003          0.36123E+07        0.0932          734.889
     800.750               2.023          0.31486E+07        0.0937          769.779
     807.156               2.041          0.27783E+07        0.0942          800.541
     813.562               2.057          0.23638E+07        0.0946          826.663
     819.968               2.070          0.21187E+07        0.0950          850.000
       6.406               0.006          0.44539E+07        0.0003          466.163
      12.812               0.016          0.77066E+07        0.0012          494.122
      19.218               0.031          0.11022E+08        0.0026          533.984
      25.624               0.049          0.13744E+08        0.0044          583.449
      32.030               0.070          0.15040E+08        0.0065          637.268
      38.436               0.090          0.15199E+08        0.0087          691.341
      44.842               0.110          0.14180E+08        0.0109          741.536
      51.248               0.128          0.12386E+08        0.0128          785.217
      57.654               0.144          0.99852E+07        0.0145          820.763
      64.060               0.157          0.84495E+07        0.0158          850.000
      76.872               0.163          0.22667E+07        0.0178          462.701
      83.278               0.175          0.37070E+07        0.0182          483.535
      89.684               0.192          0.55940E+07        0.0189          515.135
      96.090               0.214          0.74177E+07        0.0199          557.270
     102.496               0.239          0.81168E+07        0.0210          603.619
     108.902               0.265          0.81715E+07        0.0222          650.493
     115.308               0.289          0.76728E+07        0.0234          694.679
     121.714               0.312          0.69595E+07        0.0245          734.889
     128.120               0.332          0.60244E+07        0.0254          769.779
     134.526               0.350          0.53101E+07        0.0262          800.541
     140.932               0.366          0.45052E+07        0.0270          826.663
     147.338               0.379          0.40181E+07        0.0276          850.000
     160.150               0.386          0.24390E+07        0.0289          464.076
     166.556               0.399          0.41104E+07        0.0293          487.846
     172.962               0.418          0.59422E+07        0.0301          522.326
     179.368               0.443          0.75997E+07        0.0311          566.607
     185.774               0.470          0.82320E+07        0.0322          614.783
     192.180               0.498          0.83012E+07        0.0335          663.570
     198.586               0.524          0.79296E+07        0.0347          710.352
     204.992               0.548          0.72482E+07        0.0358          753.256
     211.398               0.569          0.63160E+07        0.0368          790.741
     217.804               0.588          0.54753E+07        0.0376          823.282
     224.210               0.602          0.44883E+07        0.0384          850.000
     237.022               0.609          0.22038E+07        0.0395          464.076
     243.428               0.623          0.37185E+07        0.0400          487.846
     249.834               0.642          0.53855E+07        0.0406          522.326
     256.240               0.666          0.69012E+07        0.0415          566.607
     262.646               0.694          0.74889E+07        0.0426          614.783
     269.052               0.721          0.75634E+07        0.0437          663.570
     275.458               0.748          0.72341E+07        0.0448          710.352
     281.864               0.771          0.66193E+07        0.0458          753.256
     288.270               0.792          0.57722E+07        0.0468          790.741
     294.676               0.811          0.50037E+07        0.0476          823.282
     301.082               0.826          0.41032E+07        0.0482          850.000
     313.894               0.832          0.16885E+07        0.0497          462.701
     320.300               0.843          0.27711E+07        0.0501          483.535
     326.706               0.860          0.42051E+07        0.0506          515.135
     333.112               0.883          0.56077E+07        0.0513          557.270
     339.518               0.908          0.61658E+07        0.0522          603.619
     345.924               0.934          0.62311E+07        0.0531          650.493
     352.330               0.958          0.58685E+07        0.0540          694.679
     358.736               0.980          0.53358E+07        0.0548          734.889
     365.142               1.000          0.46258E+07        0.0556          769.779
     371.548               1.019          0.40737E+07        0.0562          800.541
     377.954               1.034          0.34565E+07        0.0568          826.663
     384.360               1.048          0.30866E+07        0.0573          850.000
     397.172               1.054          0.15301E+07        0.0586          462.701
     403.578               1.065          0.25142E+07        0.0590          483.535
     409.984               1.082          0.38222E+07        0.0594          515.135
     416.390               1.105          0.51075E+07        0.0601          557.270
     422.796               1.130          0.56270E+07        0.0609          603.619
     429.202               1.156          0.56968E+07        0.0618          650.493
     435.608               1.180          0.53739E+07        0.0626          694.679
     442.014               1.202          0.48928E+07        0.0634          734.889
     448.420               1.222          0.42461E+07        0.0640          769.779
     454.826               1.240          0.37406E+07        0.0646          800.541
     461.232               1.256          0.31754E+07        0.0652          826.663
     467.638               1.270          0.28376E+07        0.0656          850.000
     480.450               1.276          0.13920E+07        0.0668          462.701
     486.856               1.287          0.22900E+07        0.0671          483.535
     493.262               1.304          0.34876E+07        0.0676          515.135
     499.668               1.327          0.46698E+07        0.0682          557.270
     506.074               1.352          0.51550E+07        0.0689          603.619
     512.480               1.378          0.52286E+07        0.0697          650.493
     518.886               1.402          0.49401E+07        0.0705          694.679
     525.292               1.424          0.45042E+07        0.0712          734.889
     531.698               1.444          0.39130E+07        0.0718          769.779
     538.104               1.462          0.34485E+07        0.0724          800.541
     544.510               1.478          0.29290E+07        0.0729          826.663
     550.916               1.491          0.26193E+07        0.0733          850.000
     563.728               1.496          0.11813E+07        0.0733          460.211
     570.134               1.505          0.19784E+07        0.0736          477.242
     576.540               1.520          0.32338E+07        0.0740          504.925
     582.946               1.539          0.43976E+07        0.0746          542.366
     589.352               1.559          0.48386E+07        0.0753          583.375
     595.758               1.580          0.48412E+07        0.0760          624.257
     602.164               1.600          0.45443E+07        0.0767          662.521
     608.570               1.617          0.40812E+07        0.0774          696.806
     614.976               1.633          0.35428E+07        0.0780          726.522
     621.382               1.647          0.30520E+07        0.0785          752.146
     627.788               1.659          0.26299E+07        0.0789          774.227
     634.194               1.671          0.24006E+07        0.0793          794.379
     640.600               1.683          0.21995E+07        0.0797          812.834
     647.006               1.693          0.21906E+07        0.0800          831.204
     653.412               1.701          0.22429E+07        0.0804          850.000
     666.224               1.706          0.10846E+07        0.0804          460.211
     672.630               1.715          0.18185E+07        0.0806          477.242
     679.036               1.730          0.29774E+07        0.0810          504.925
     685.442               1.748          0.40560E+07        0.0815          542.366
     691.848               1.769          0.44700E+07        0.0822          583.375
     698.254               1.790          0.44791E+07        0.0829          624.257
     704.660               1.810          0.42099E+07        0.0835          662.521
     711.066               1.827          0.37849E+07        0.0842          696.806
     717.472               1.843          0.32883E+07        0.0847          726.522
     723.878               1.857          0.28332E+07        0.0852          752.146
     730.284               1.869          0.24421E+07        0.0856          774.227
     736.690               1.881          0.22299E+07        0.0860          794.379
     743.096               1.893          0.20439E+07        0.0863          812.834
     749.502               1.903          0.20364E+07        0.0866          831.204
     755.908               1.911          0.20857E+07        0.0870          850.000
     768.720               1.916          0.10008E+07        0.0870          460.211
     775.126               1.925          0.16800E+07        0.0872          477.242
     781.532               1.940          0.27551E+07        0.0875          504.925
     787.938               1.958          0.37598E+07        0.0881          542.366
     794.344               1.979          0.41505E+07        0.0887          583.375
     800.750               2.000          0.41652E+07        0.0893          624.257
     807.156               2.020          0.39199E+07        0.0899          662.521
     813.562               2.037          0.35281E+07        0.0905          696.806
     819.968               2.052          0.30678E+07        0.0910          726.522
     826.374               2.067          0.26435E+07        0.0915          752.146
     832.780               2.079          0.22794E+07        0.0919          774.227
     839.186               2.091          0.20820E+07        0.0922          794.379
     845.592               2.102          0.19090E+07        0.0925          812.834
     851.998               2.113          0.19026E+07        0.0929          831.204
     858.404               2.121          0.19493E+07        0.0932          850.000
       6.406               0.006          0.23911E+07        0.0002          462.701
      12.812               0.018          0.39006E+07        0.0006          483.535
      19.218               0.035          0.58769E+07        0.0014          515.135
      25.624               0.057          0.77919E+07        0.0024          557.270
      32.030               0.082          0.85396E+07        0.0035          603.619
      38.436               0.108          0.86194E+07        0.0048          650.493
      44.842               0.132          0.81170E+07        0.0060          694.679
      51.248               0.155          0.73833E+07        0.0072          734.889
      57.654               0.175          0.64092E+07        0.0082          769.779
      64.060               0.193          0.56700E+07        0.0091          800.541
      70.466               0.209          0.48228E+07        0.0098          826.663
      76.872               0.222          0.43073E+07        0.0105          850.000
      89.684               0.228          0.22667E+07        0.0125          462.701
      96.090               0.240          0.37070E+07        0.0129          483.535
     102.496               0.257          0.55940E+07        0.0136          515.135
     108.902               0.279          0.74177E+07        0.0146          557.270
     115.308               0.304          0.81168E+07        0.0157          603.619
     121.714               0.330          0.81715E+07        0.0169          650.493
     128.120               0.354          0.76728E+07        0.0181          694.679
     134.526               0.377          0.69595E+07        0.0192          734.889
     140.932               0.397          0.60244E+07        0.0201          769.779
     147.338               0.415          0.53101E+07        0.0209          800.541
     153.744               0.431          0.45052E+07        0.0217          826.663
     160.150               0.444          0.40181E+07        0.0223          850.000
     172.962               0.449          0.19195E+07        0.0225          460.211
     179.368               0.458          0.31956E+07        0.0229          477.242
     185.774               0.472          0.51783E+07        0.0235          504.925
     192.180               0.491          0.69790E+07        0.0244          542.366
     198.586               0.512          0.76161E+07        0.0254          583.375
     204.992               0.532          0.75668E+07        0.0266          624.257
     211.398               0.552          0.70608E+07        0.0276          662.521
     217.804               0.570          0.63103E+07        0.0286          696.806
     224.210               0.585          0.54579E+07        0.0295          726.522
     230.616               0.599          0.47033E+07        0.0303          752.146
     237.022               0.612          0.40491E+07        0.0309          774.227
     243.428               0.624          0.36920E+07        0.0315          794.379
     249.834               0.635          0.33783E+07        0.0320          812.834
     256.240               0.645          0.33598E+07        0.0325          831.204
     262.646               0.654          0.34348E+07        0.0330          850.000
     275.458               0.659          0.34148E+07        0.0330          466.163
     281.864               0.670          0.59048E+07        0.0337          494.122
     288.270               0.684          0.84116E+07        0.0348          533.984
     294.676               0.703          0.10425E+08        0.0362          583.449
     301.082               0.723          0.11324E+08        0.0378          637.268
     307.488               0.744          0.11359E+08        0.0394          691.341
     313.894               0.763          0.10526E+08        0.0410          741.536
     320.300               0.782          0.91459E+07        0.0425          785.217
     326.706               0.798          0.74227E+07        0.0437          820.763
     333.112               0.811          0.61164E+07        0.0447          850.000
     345.924               0.816          0.15676E+07        0.0448          460.211
     352.330               0.825          0.26161E+07        0.0451          477.242
     358.736               0.839          0.42546E+07        0.0456          504.925
     365.142               0.858          0.57551E+07        0.0464          542.366
     371.548               0.879          0.63004E+07        0.0473          583.375
     377.954               0.899          0.62760E+07        0.0482          624.257
     384.360               0.919          0.58687E+07        0.0491          662.521
     390.766               0.937          0.52538E+07        0.0499          696.806
     397.172               0.952          0.45496E+07        0.0507          726.522
     403.578               0.966          0.39187E+07        0.0513          752.146
     409.984               0.979          0.33740E+07        0.0519          774.227
     416.390               0.991          0.30771E+07        0.0524          794.379
     422.796               1.002          0.28166E+07        0.0528          812.834
     429.202               1.012          0.28025E+07        0.0532          831.204
     435.608               1.021          0.28664E+07        0.0537          850.000
     448.420               1.027          0.15301E+07        0.0550          462.701
     454.826               1.038          0.25142E+07        0.0553          483.535
     461.232               1.056          0.38222E+07        0.0558          515.135
     467.638               1.078          0.51075E+07        0.0565          557.270
     474.044               1.103          0.56270E+07        0.0573          603.619
     480.450               1.129          0.56968E+07        0.0581          650.493
     486.856               1.153          0.53739E+07        0.0589          694.679
     493.262               1.175          0.48928E+07        0.0597          734.889
     499.668               1.195          0.42461E+07        0.0604          769.779
     506.074               1.214          0.37406E+07        0.0610          800.541
     512.480               1.229          0.31754E+07        0.0615          826.663
     518.886               1.243          0.28376E+07        0.0620          850.000
     531.698               1.250          0.16416E+07        0.0628          464.076
     538.104               1.263          0.27801E+07        0.0632          487.846
     544.510               1.282          0.40483E+07        0.0637          522.326
     550.916               1.307          0.52198E+07        0.0644          566.607
     557.322               1.334          0.56993E+07        0.0652          614.783
     563.728               1.362          0.57884E+07        0.0661          663.570
     570.134               1.388          0.55638E+07        0.0669          710.352
     576.540               1.412          0.51122E+07        0.0677          753.256
     582.946               1.433          0.44724E+07        0.0685          790.741
     589.352               1.451          0.38812E+07        0.0691          823.282
     595.758               1.466          0.31887E+07        0.0696          850.000
     608.570               1.472          0.22926E+07        0.0696          466.163
     614.976               1.482          0.39664E+07        0.0701          494.122
     621.382               1.497          0.56516E+07        0.0708          533.984
     627.788               1.515          0.70055E+07        0.0718          583.449
     634.194               1.536          0.76138E+07        0.0729          637.268
     640.600               1.556          0.76417E+07        0.0740          691.341
     647.006               1.576          0.70893E+07        0.0751          741.536
     653.412               1.594          0.61691E+07        0.0761          785.217
     659.818               1.610          0.50676E+07        0.0770          820.763
     666.224               1.623          0.40860E+07        0.0777          850.000
     679.036               1.628          0.10846E+07        0.0777          460.211
     685.442               1.637          0.18185E+07        0.0779          477.242
     691.848               1.651          0.29774E+07        0.0783          504.925
     698.254               1.670          0.40560E+07        0.0788          542.366
     704.660               1.691          0.44700E+07        0.0795          583.375
     711.066               1.712          0.44791E+07        0.0802          624.257
     717.472               1.731          0.42099E+07        0.0808          662.521
     723.878               1.749          0.37849E+07        0.0814          696.806
     730.284               1.764          0.32883E+07        0.0820          726.522
     736.690               1.778          0.28332E+07        0.0825          752.146
     743.096               1.791          0.24421E+07        0.0829          774.227
     749.502               1.803          0.22299E+07        0.0833          794.379
     755.908               1.814          0.20439E+07        0.0836          812.834
     762.314               1.824          0.20364E+07        0.0839          831.204
     768.720               1.833          0.20857E+07        0.0843          850.000
     781.532               1.838          0.10008E+07        0.0843          460.211
     787.938               1.847          0.16800E+07        0.0845          477.242
     794.344               1.861          0.27551E+07        0.0848          504.925
     800.750               1.880          0.37598E+07        0.0853          542.366
     807.156               1.901          0.41505E+07        0.0859          583.375
     813.562               1.922          0.41652E+07        0.0866          624.257
     819.968               1.941          0.39199E+07        0.0872          662.521
     826.374               1.959          0.35281E+07        0.0878          696.806
     832.780               1.974          0.30678E+07        0.0883          726.522
     839.186               1.988          0.26435E+07        0.0888          752.146
     845.592               2.001          0.22794E+07        0.0891          774.227
     851.998               2.013          0.20820E+07        0.0895          794.379
     858.404               2.024          0.19090E+07        0.0898          812.834
     864.810               2.034          0.19026E+07        0.0901          831.204
     871.216               2.043          0.19493E+07        0.0905          850.000
