      6.406    509.213    507.181    503.836    503.592    503.544    503.377
     12.812    560.113    556.512    550.838    550.424    550.344    550.061
     19.218    640.876    634.748    625.425    624.743    624.614    624.148
     25.624    730.033    721.196    708.284    707.339    707.163    706.516
     32.030    795.180    783.869    769.292    768.225    768.028    767.299
     38.436    840.007    827.681    812.804    811.714    811.515    810.770
     44.842    867.236    855.406    841.237    840.197    840.010    839.299
     51.248    881.953    871.178    858.335    857.392    857.223    856.578
     57.654    888.003    878.570    867.359    866.534    866.386    865.822
     64.060    892.404    884.200    874.462    873.745    873.617    873.126
     70.466    895.643    888.536    880.107    879.485    879.375    878.949
     76.872    905.556    899.044    891.327    890.757    890.655    890.266
     83.278    915.111    909.103    901.998    901.473    901.380    901.021
     89.684    933.394    927.373    920.268    919.742    919.649    919.290
     96.090    955.155    948.919    941.593    941.051    940.955    940.584
    108.902    506.641    504.721    501.592    501.360    501.315    501.156
    115.308    555.915    552.512    547.194    546.800    546.725    546.455
    121.714    634.151    628.352    619.603    618.955    618.832    618.388
    128.120    720.591    712.251    700.145    699.247    699.079    698.465
    134.526    783.858    773.342    759.716    758.705    758.518    757.827
    140.932    827.938    816.364    802.507    801.477    801.290    800.586
    147.338    855.125    844.059    830.909    829.931    829.754    829.085
    153.744    870.464    860.419    848.536    847.651    847.492    846.887
    160.150    877.571    868.801    858.455    857.684    857.546    857.018
    166.556    882.862    875.261    866.307    865.639    865.519    865.062
    172.962    887.104    880.533    872.801    872.223    872.120    871.725
    179.368    897.545    891.534    884.466    883.938    883.843    883.482
    185.774    907.596    902.058    895.561    895.074    894.988    894.655
    192.180    925.772    920.227    913.737    913.251    913.165    912.832
    198.586    947.206    941.472    934.786    934.285    934.197    933.854
    211.398    502.548    500.801    497.982    497.770    497.729    497.584
    217.804    548.961    545.876    541.086    540.726    540.658    540.412
    224.210    622.839    617.580    609.692    609.100    608.987    608.582
    230.616    704.998    697.453    686.540    685.720    685.567    685.006
    237.022    766.060    756.734    744.462    743.539    743.369    742.738
    243.428    810.032    799.547    787.072    786.134    785.963    785.321
    249.834    838.191    828.170    816.334    815.443    815.281    814.671
    256.240    855.223    846.123    835.426    834.619    834.474    833.922
    262.646    864.340    856.392    847.074    846.371    846.245    845.764
    269.052    871.328    864.441    856.380    855.771    855.662    855.245
    275.458    877.119    871.164    864.204    863.677    863.583    863.223
    281.864    888.411    882.962    876.599    876.117    876.031    875.702
    288.270    899.198    894.177    888.328    887.884    887.805    887.502
    294.676    917.392    912.365    906.521    906.078    905.999    905.696
    301.082    938.586    933.387    927.368    926.911    926.830    926.518
    313.894    512.614    510.615    507.420    507.177    507.130    506.964
    320.300    571.445    567.826    562.305    561.885    561.805    561.517
    326.706    645.653    640.099    631.935    631.314    631.197    630.772
    333.112    728.384    720.796    710.052    709.234    709.082    708.522
    339.518    795.775    786.193    774.169    773.254    773.085    772.459
    345.924    850.663    840.045    827.586    826.637    826.464    825.814
    352.330    892.278    881.806    869.630    868.701    868.534    867.898
    358.736    921.871    912.049    900.716    899.850    899.696    899.103
    365.142    939.173    930.445    920.438    919.673    919.537    919.014
    371.548    952.711    945.060    936.318    935.649    935.532    935.074
    377.954    956.647    950.316    943.104    942.551    942.454    942.076
