      0.000    340.000    344.444    348.889    353.333    357.778    362.222    366.667    371.111    375.556    380.000    380.000    383.889    387.778    391.667    395.556    399.444    403.333    407.222    411.111    415.000    415.000    419.444    423.889    428.333    432.778    437.222    441.667    446.111    450.556    455.000 
      0.005      3.237      3.205      3.176      3.148      3.121      3.096      3.073      3.051      3.030      3.010     -7.468     -7.387     -7.310     -7.235     -7.163     -7.094     -7.028     -6.964     -6.902     -6.843      2.687      2.660      2.634      2.610      2.587      2.565      2.544      2.524      2.505      2.486 
      0.014      9.254      9.160      9.072      8.989      8.910      8.836      8.766      8.700      8.638      8.579    -19.850    -19.634    -19.426    -19.226    -19.035    -18.850    -18.673    -18.503    -18.338    -18.180      7.702      7.625      7.552      7.482      7.415      7.352      7.291      7.233      7.178      7.125 
      0.028     18.797     18.598     18.411     18.234     18.067     17.909     17.760     17.619     17.485     17.358    -39.285    -38.857    -38.445    -38.050    -37.670    -37.305    -36.953    -36.615    -36.290    -35.976     15.586     15.425     15.271     15.125     14.985     14.851     14.724     14.602     14.485     14.374 
      0.047     31.550     31.203     30.874     30.562     30.268     29.989     29.725     29.474     29.237     29.011    -64.899    -64.190    -63.510    -62.856    -62.228    -61.624    -61.043    -60.484    -59.946    -59.428     25.988     25.709     25.443     25.188     24.945     24.712     24.490     24.277     24.073     23.878 
      0.068     45.424     44.904     44.411     43.945     43.503     43.084     42.687     42.310     41.951     41.611    -92.351    -91.343    -90.374    -89.444    -88.550    -87.690    -86.863    -86.067    -85.301    -84.564     37.133     36.720     36.326     35.948     35.587     35.242     34.911     34.595     34.291     34.001 
      0.089     58.990     58.295     57.637     57.013     56.422     55.860     55.327     54.821     54.340     53.882   -118.857   -117.558   -116.312   -115.114   -113.963   -112.856   -111.791   -110.767   -109.781   -108.832     47.867     47.321     46.798     46.298     45.820     45.361     44.922     44.501     44.098     43.711 
      0.108     71.286     70.430     69.619     68.850     68.120     67.427     66.769     66.143     65.547     64.981   -142.645   -141.086   -139.590   -138.152   -136.770   -135.441   -134.163   -132.934   -131.750   -130.610     57.475     56.807     56.167     55.555     54.969     54.408     53.870     53.354     52.859     52.384 
      0.126     81.951     80.955     80.011     79.115     78.265     77.457     76.689     75.959     75.264     74.603   -163.145   -161.362   -159.650   -158.005   -156.425   -154.905   -153.443   -152.036   -150.682   -149.379     65.735     64.962     64.221     63.513     62.834     62.184     61.560     60.962     60.388     59.837 
      0.141     90.951     89.837     88.781     87.778     86.827     85.922     85.062     84.245     83.467     82.726   -180.386   -178.415   -176.521   -174.703   -172.954   -171.274   -169.657   -168.102   -166.605   -165.163     72.670     71.809     70.984     70.195     69.438     68.713     68.018     67.351     66.712     66.097 
