      0.000    340.000    344.444    348.889    353.333    357.778    362.222    366.667    371.111    375.556    380.000    380.000    383.889    387.778    391.667    395.556    399.444    403.333    407.222    411.111    415.000    415.000    419.444    423.889    428.333    432.778    437.222    441.667    446.111    450.556    455.000 
      0.006     -3.248     -3.042     -2.846     -2.659     -2.482     -2.313     -2.151     -1.998     -1.851     -1.711     -1.711     -1.613     -1.520     -1.429     -1.343     -1.260     -1.180     -1.102     -1.028     -0.957     -0.957     -0.846     -0.739     -0.637     -0.538     -0.444     -0.353     -0.265     -0.181     -0.100 
      0.018     -9.498     -8.912     -8.355     -7.825     -7.320     -6.840     -6.382     -5.945     -5.528     -5.130     -5.130     -4.787     -4.458     -4.142     -3.838     -3.546     -3.265     -2.995     -2.735     -2.484     -2.484     -2.175     -1.878     -1.593     -1.319     -1.056     -0.803     -0.560     -0.325     -0.100 
      0.035     -5.336     -4.590     -3.880     -3.204     -2.560     -1.946     -1.361     -0.803     -0.269      0.241      0.241     -0.317     -0.853     -1.368     -1.863     -2.338     -2.796     -3.236     -3.660     -4.068     -4.068     -3.553     -3.060     -2.586     -2.130     -1.692     -1.271     -0.866     -0.476     -0.100 
      0.057     -0.293      0.671      1.588      2.462      3.295      4.089      4.847      5.571      6.262      6.923      6.923      5.237      3.618      2.063      0.568     -0.869     -2.251     -3.581     -4.861     -6.093     -6.093     -5.317     -4.572     -3.856     -3.168     -2.506     -1.870     -1.258     -0.668     -0.100 
      0.082     -7.090     -5.530     -4.045     -2.632     -1.285     -0.001      1.224      2.393      3.510      4.577      4.577      2.831      1.155     -0.456     -2.004     -3.493     -4.924     -6.302     -7.627     -8.904     -8.904     -7.763     -6.668     -5.617     -4.606     -3.634     -2.699     -1.800     -0.934     -0.100 
      0.108     -1.868     -0.058      1.665      3.306      4.869      6.360      7.782      9.140     10.437     11.678     11.678      8.729      5.898      3.178      0.564     -1.949     -4.366     -6.692     -8.931    -11.086    -11.086     -9.663     -8.297     -6.984     -5.723     -4.510     -3.344     -2.221     -1.141     -0.100 
      0.132     -7.420     -5.085     -2.864     -0.749      1.265      3.186      5.018      6.767      8.437     10.034     10.034      6.974      4.036      1.213     -1.499     -4.107     -6.616     -9.030    -11.353    -13.590    -13.590    -11.842    -10.164     -8.552     -7.003     -5.514     -4.082     -2.704     -1.377     -0.100 
      0.155     -2.517      0.019      2.433      4.730      6.919      9.005     10.996     12.896     14.711     16.445     16.445     12.328      8.374      4.576      0.925     -2.584     -5.960     -9.208    -12.334    -15.344    -15.344    -13.369    -11.472     -9.650     -7.900     -6.217     -4.599     -3.042     -1.543     -0.100 
      0.175    -10.847     -7.816     -4.932     -2.188      0.426      2.918      5.294      7.561      9.726     11.795     11.795      8.025      4.404      0.925     -2.418     -5.633     -8.724    -11.699    -14.562    -17.319    -17.319    -15.086    -12.943    -10.885     -8.908     -7.007     -5.180     -3.421     -1.729     -0.100 
